"","X","workerid","complete_sentence","segment4","condition","seg3","seg4","seg5","seg6","seg7","seg8","seg9","seg10","seg11","seg12"
"11",11,0,"""Josh wanted to talk about the new movie with his co-workers.He asked his co-worker Seth whether any had seen the movie yet.Seth said that some of them had.He addedthatthe restwould bemadif Joshgave away spoilers.""",""" some of them """,""" any """,6.44094654063292,6.19847871649231,6.15060276844628,5.64544689764324,5.57594910314632,5.47227067367148,5.45958551414416,5.57594910314632,6.16751649088834,6.18001665365257
"12",12,0,"""Quinn and Chase were thinking about going to one of the season&quotechars ball games.Quinn asked Chase whether all were scheduled for the afternoon.Chase said that some of them were.He addedthatthe restwould beplayedat night.""",""" some of them """,""" all """,6.60258789218934,5.92425579741453,5.50938833662798,6.17586727010576,5.55295958492162,5.37063802812766,5.36597601502185,6.12249280951439,6.13988455222626,NA
"13",13,0,"""Alexa was looking at the puppies at the shelter..She asked the employee Stephen whether any would grow into large dogs.Stephen said that some of them would.He addedthatthe restwould besmallwhen full-grown.""",""" some of them """,""" any """,6.39359075395063,5.73979291217923,5.61312810638807,5.47646355193151,5.46806014113513,5.55682806169954,5.35658627467201,5.605802066296,6.15909538849193,NA
"14",14,0,"""Lydia was trying to choose one of the kittens from her friend Kim&quotechars pet store.She asked Kim if any had gotten their shots yet.Kim said that only some of them had.She addedthatthe restwould begetting themlater.""",""" only some of them """,""" any """,6.2841341610708,5.66296048013595,5.77144112313002,5.5834963087817,5.59471137960184,5.49306144334055,5.47227067367148,5.44241771052179,5.65248918026865,NA
"15",15,0,"""Jason and Perry were ordering computers for the new lab.Perry asked Jason whether any would have an Internet connection.Jason said that some of them would.He addedthatthe restwould befor offline workonly.""",""" some of them """,""" any """,6.69084227741856,5.73009978297357,5.66642668811243,5.57972982598622,5.79301360838414,5.68017260901707,5.64897423816121,6.25766758788264,6.31354804627709,NA
"16",16,0,"""Andrea was looking at computers in the store.She asked the clerk Tom whether all came with webcams built in.Tom said that some of them did.He addedthatthe restwould beable to usea USB webcam.""",""" some of them """,""" all """,6.32435896238131,5.78996017089725,5.68697535633982,5.34233425196481,5.54126354515843,6.22455842927536,5.59471137960184,5.39816270151775,5.67332326717149,NA
"17",17,0,"""Alex was perusing the breakfast cereals at the grocery store.He asked Carrie whether any had high levels of sugar.Carrie said that only some of them did.She addedthatthe restwould behealthierbutnot as tasty.""",""" only some of them """,""" any """,6.41673228251233,5.69035945432406,5.65948221575962,5.53733426701854,6.24610676548156,5.73009978297357,5.62762111369064,5.74939298590825,6.17586727010576,5.59471137960184
"18",18,0,"""Carrie and Tim were comparing venues for their upcoming wedding.Carrie asked Tim whether all would accommodate so many guests.Tim said that some of them would.He addedthatthe restwould becrowdedwiththat many people.""",""" some of them """,""" all """,6.41836493593621,5.85793315448346,5.93489419561959,6.10255859461357,5.80211837537706,5.57215403217776,5.70044357339069,5.65948221575962,6.23048144757848,6.22455842927536
"19",19,0,"""Molly and Tony were hosting a dinner party for Tony&quotechars classmates.Molly asked Tony whether any were allergic to any foods.Tony said that only some of them were.He addedthatthe restwould beable to eatanything.""",""" only some of them """,""" any """,6.21260609575152,5.67332326717149,5.60947179518496,5.66988092298052,5.44241771052179,5.36597601502185,5.41610040220442,5.5834963087817,5.8805329864007,NA
"20",20,0,"""Eric was preparing to travel in Italy with his classmates.Eric&quotechars mom asked him whether all had been to Europe before.Eric said that some of them had.He addedthatthe restwould benervous abouttraveling abroad.""",""" some of them """,""" all """,6.361302477573,5.6937321388027,NA,6.51471269087253,6.0913098820777,5.88887795833288,6.32793678372919,6.20050917404269,6.04025471127741,NA
"21",21,0,"""Trevor was curious about the professors&quotechar summer breaks.He asked Dr. Johnson whether any would be going out of town.Dr. Johnson said that only some of them would.He addedthatthe restwould bearoundall summer.""",""" only some of them """,""" any """,6.52502965784346,6.20050917404269,5.76205138278018,5.4553211153577,5.65599181081985,5.54517744447956,5.5683445037611,5.52942908751142,5.36597601502185,NA
"22",22,0,"""Lana was watching episodes of her favorite sitcom on her day off.Ashley asked her whether any lasted less than an hour..Lana said that some of them did.She addedthatthe restwould betoo rushedthat way.""",""" some of them """,""" any """,5.97380961186926,5.77455154554441,5.54126354515843,5.5834963087817,5.5834963087817,5.47227067367148,5.89164421182577,5.24702407216049,5.74300318780948,NA
"23",23,0,"""Donna and Martha were discussing the rooms of the new house.Donna asked Martha whether any would need to be wallpapered.Martha said that some of them would.She addedthatthe restwould bepaintedinstead.""",""" some of them """,""" any """,6.23832462503951,5.73334127689775,5.65248918026865,5.63478960316925,6.27287700654617,5.64897423816121,5.54517744447956,5.43372200355424,6.34035930372775,NA
"24",24,0,"""Stan and Marilyn were trying to decide what type of tree to plant.Stan asked Marilyn whether all would grow well in shade.Marilyn said that only some of them would.She addedthatthe restwould bebetter offin full sun.""",""" only some of them """,""" all """,6.78445706263764,5.98896141688986,5.75574221358691,5.58724865840025,5.59842195899838,5.49306144334055,5.53338948872752,5.47227067367148,5.5834963087817,NA
"25",25,0,"""Molly was looking at apartments.She asked the agent Sally whether all would be available next month.Sally said that  some of them would.She addedthatthe restwould beavailablein August.""",""" some of them """,""" all """,6.92067150424868,5.79909265446053,5.68697535633982,5.47227067367148,5.60947179518496,5.47646355193151,5.47227067367148,5.51342874616498,5.52146091786225,NA
"26",26,0,"""Lyle was driving to meet his friends at the restaurant.He asked Sarah whether all were already at the table.Sarah said that only some of them were.She addedthatthe restwould betherein five minutes.""",""" only some of them """,""" all """,6.84694313958538,6.18826412308259,5.85220247977447,5.76832099579377,5.79301360838414,5.8111409929767,6.16751649088834,6.13556489108174,6.18414889093748,NA
"27",27,0,"""Mrs. Myers was worried that her students weren&quotechart ready for the test.She asked the Mr. Robbins whether any had to take the test.Mr. Robbins said that only some of them did.He addedthatthe restwould beable totake itthe next weekend.""",""" only some of them """,""" any """,6.39359075395063,5.85507192220243,5.57972982598622,5.44673737166631,5.63121178182137,5.34710753071747,5.54517744447956,5.52146091786225,6.06378520868761,6.289715570909
"28",28,0,"""The students had prepared for the final presentation.Allie asked Margaret whether all were supposed to present today.Margaret said that only some of them were.She addedthatthe restwould bepresentingon Thursday.""",""" only some of them """,""" all """,6.4377516497364,5.71042701737487,5.99893656194668,5.6021188208797,5.63478960316925,5.52942908751142,5.63121178182137,5.4971682252932,6.31896811374643,NA
"29",29,0,"""Susie heard Matthew&quotechars friends at the door.She asked him whether all were going to the movie with him.Matthew said that only some of them were.He addedthatthe restwould betoobusy.""",""" only some of them """,""" all """,6.77078942390898,5.80211837537706,6.03548143252476,5.49306144334055,5.50125821054473,5.58724865840025,5.53338948872752,6.24222326545517,6.31896811374643,NA
"30",30,0,"""The local papers were all covering Jason&quotechars press conference.Jason asked his publicist Sally whether all would run a front-page story.Sally said that only some of them would.She addedthatthe restwould berunningother stories.""",""" only some of them """,""" all """,6.43454651878745,5.5834963087817,5.63121178182137,5.4971682252932,5.37989735354046,5.40717177146012,5.44673737166631,5.42934562895444,5.50938833662798,NA
"31",31,0,"""Max and Aaron were getting ready to host prospective students.Max asked Aaron whether all needed rides from the airport.Aaron said that some of them did.He addedthatthe restwould bedrivingthemselves.""",""" some of them """,""" all """,6.4150969591716,5.54517744447956,5.37063802812766,5.5834963087817,5.66296048013595,5.70044357339069,5.66296048013595,6.16331480403464,6.10255859461357,NA
"32",32,0,"""Andy and Lisa were moving some pieces of furniture.Lisa asked Andy whether any would fit in his car.Andy said that only some of them would.He addedthatthe restwould betoo bigfor his car.""",""" only some of them """,""" any """,6.35437004079735,6.09356977004514,5.52146091786225,5.61677109766657,5.4249500174814,6.26530121273771,5.68697535633982,5.67675380226828,6.25766758788264,NA
"33",33,0,"""Jim and Breanna were thinking of inviting their classmates to the movie theater.Jim asked Breanna whether any were interested in artsy movies.Breanna said that some of them were.She addedthatthe restwould  beboredat those movies.""",""" some of them """,""" any """,6.64509096950564,6.34212141872115,5.98141421125448,5.89715386763674,5.76832099579377,5.82600010738045,5.68017260901707,5.62762111369064,5.99645208861902,NA
"34",34,0,"""Kurt and Brooke were thinking of selling their movies at a yard sale.Brooke asked Kurt whether all were all right to sell.Kurt said that only some of them were.He addedthatthe restwould beinappropriatefor kids.""",""" only some of them """,""" all """,6.42162226780652,5.78689738136671,5.64190707093811,5.64897423816121,5.58724865840025,5.57215403217776,5.52146091786225,5.46383180502561,5.46383180502561,NA
"35",35,0,"""David and Brandon were looking at upcoming video games in the magazine.David asked Brandon whether all would have a multiplayer mode.Brandon said that some of them would.He addedthatthe restwould besingle playeronly.""",""" some of them """,""" all """,6.44730586254121,5.6970934865054,5.89715386763674,5.66642668811243,5.84354441703136,5.97126183979046,5.74939298590825,5.7037824746562,5.65599181081985,NA
"36",36,0,"""The soccer players were all training very hard.Eric asked Jack whether any would go to the tournament.Jack said that some of them would.He addedthatthe restwould bestayingin town.""",""" some of them """,""" any """,6.35437004079735,5.6021188208797,5.54126354515843,5.4971682252932,5.40717177146012,5.42934562895444,5.57972982598622,5.48063892334199,5.62040086571715,NA
"37",37,0,"""Greg was trying to choose which wine to order with dinner.He asked the waitress Michelle whether any would go well with fish.Michelle said that only some of them would.She addedthatthe restwould betoo sweetfor that.""",""" only some of them """,""" any """,6.13122648948314,5.64544689764324,5.53733426701854,5.47227067367148,5.52545293913178,5.48893772615669,5.57594910314632,5.52146091786225,6.18414889093748,NA
"38",38,0,"""Mrs. Landman was looking at laptops for her grandson.She asked the employee Larry whether all were easy to carry around.Larry said that some of them were.He addedthatthe restwould bepretty heavyto carryto classes.""",""" some of them """,""" all """,6.29341927884648,5.75890177387728,5.50125821054473,5.3890717298165,5.39816270151775,5.35185813347607,5.41164605185504,5.40267738187228,6.22257626807137,6.10255859461357
"39",39,0,"""In the store, Sally was unpacking the new shipment of shoes.She asked Tiffany whether all should be marked on sale.Tiffany said that some of them should.She addedthatthe restwould beatfull price.""",""" some of them """,""" all """,6.41017488196617,5.87211778947542,5.61312810638807,5.50125821054473,5.44241771052179,5.47646355193151,5.5834963087817,5.57594910314632,5.89440283426485,NA
"40",40,0,"""Brian had just finished checking the bikes in Tom&quotechars garage.Tom asked Brian whether any needed to get a tune-up.Brian said that only some of them did.He addedthatthe restwould befineforanother few months.""",""" only some of them """,""" any """,6.45990445437753,5.54517744447956,5.58724865840025,5.46806014113513,5.4553211153577,5.25749537202778,5.33753807970132,5.24174701505964,5.33271879326537,6.51619307604296
"41",41,0,"""The kids in the first grade class were getting antsy.Kim asked Mrs. Brady whether all could go outside for recess.Mrs. Brady said that some of them could.She addedthatthe restwould bestaying insideto do make-up work.""",""" some of them """,""" all """,6.06842558824411,6.01615715969835,5.50938833662798,5.41610040220442,5.42934562895444,5.48063892334199,5.43372200355424,5.46806014113513,6.19644412779452,6.30261897574491
"42",42,0,"""Terry and his coach Rick were discussing top runners from the area.Terry asked Rick whether all would be at the race.Rick said that some of them would.He addedthatthe restwould berestingfor the championships.""",""" some of them """,""" all """,6.36302810354046,6.35088571671474,5.80814248998044,5.6021188208797,5.57594910314632,5.41610040220442,5.44241771052179,5.27811465923052,5.50533153593236,NA
"43",43,0,"""Justin wanted to find out which of Mike&quotechars desserts he could eat.He asked Mike whether any could be made gluten free.Mike said that some of them could.He addedthatthe restwould behard to dothat way.""",""" some of them """,""" any """,6.42648845745769,5.57594910314632,5.5683445037611,5.51342874616498,5.53338948872752,5.63121178182137,5.605802066296,5.74300318780948,6.40687998606931,NA
"44",44,0,"""Bill took out the fancy candles from the drawer.He asked Claire whether all should be lit for dinner.Claire said that some of them should.She addedthatthe restwould beneededlater.""",""" some of them """,""" all """,6.34738920965601,5.64897423816121,5.62401750618734,5.56068163101553,5.47646355193151,5.47646355193151,5.47646355193151,5.55682806169954,5.90263333340137,NA
"45",45,0,"""Ryan had moved to a new town and was curious about the radio stations there.He asked John whether any would play classic rock hits.John said that some of them would.He addedthatthe restwould beonlycountry music.""",""" some of them """,""" any """,6.8501261661455,6.12029741895095,5.89164421182577,5.65248918026865,5.59098698051086,5.59471137960184,6.16961073249146,6.20657592672493,6.30261897574491,NA
"46",46,0,"""Darren knew his relatives would come for his birthday.Darren asked his mother, Sally, whether any would be giving him clothes.Sally said that some of them would.She addedthatthe restwould besending himelectronics.""",""" some of them """,""" any """,6.3818160174061,5.56452040732269,5.98645200528444,5.52942908751142,5.49306144334055,5.49306144334055,5.4553211153577,5.48893772615669,6.06378520868761,NA
"47",47,0,"""Mary was preparing to throw a party for John&quotechars relatives.She asked John whether any were staying in his apartment.John said that only some of them were.He addedthatthe restwould bestayingin a hotel.""",""" only some of them """,""" any """,5.99645208861902,5.99396142730657,5.60947179518496,5.57594910314632,5.45958551414416,5.40267738187228,5.42934562895444,5.60947179518496,6.21460809842219,NA
"48",48,1,"""Andrea was looking at computers in the store.She asked the clerk Tom whether all came with webcams built in.Tom said that only some of them did.He addedthatthe restwould beable to usea USB webcam.""",""" only some of them """,""" all """,6.63200177739563,6.4085287910595,6.52649485957079,6.27664348934164,5.98645200528444,6.0137151560428,6.20050917404269,5.97380961186926,7.32514895795557,NA
"49",49,1,"""Tracy and Mark were trying to choose a restaurant downtown for their rehearsal dinner.Mark asked Tracy whether all were open on the weekends.Tracy said that some of them were.She addedthatthe restwould beclosedat that time.""",""" some of them """,""" all """,6.63068338564237,6.0282785202307,5.78382518232974,5.75574221358691,6.31173480915291,6.21460809842219,6.11368217983223,6.18208490671663,6.34212141872115,NA
"50",50,1,"""Ed and Hillary were considering several universities for grad school.Hillary asked Ed whether all were very competitive in admissions.Ed said that only some of them were.He addedthatthe restwould beeasyto get into.""",""" only some of them """,""" all """,6.96790920180188,6.8134445995109,6.24997524225948,6.14418563412565,6.03787091992214,5.59842195899838,5.87773578177964,5.98645200528444,5.97126183979046,NA
"51",51,1,"""Ryan had moved to a new town and was curious about the radio stations there.He asked John whether all would play classic rock hits.John said that some of them would.He addedthatthe restwould beonlycountry music.""",""" some of them """,""" all """,6.92264389147589,6.40522845803084,5.81413053182507,5.6021188208797,5.59471137960184,5.76832099579377,5.62762111369064,5.76832099579377,5.9427993751267,NA
"52",52,1,"""Jim and Breanna were thinking of inviting their classmates to the movie theater.Jim asked Breanna whether any were interested in artsy movies.Breanna said that some of them were.She addedthatthe restwould  beboredat those movies.""",""" some of them """,""" any """,6.41999492814714,6.15060276844628,5.8348107370626,5.68697535633982,5.45958551414416,5.51342874616498,5.65599181081985,5.76519110278484,6.13122648948314,NA
"53",53,1,"""Paul and Deb were trying to decide which gym to go to.Paul asked Deb whether all had discounts for college students.Deb said that only some of them did.She addedthatthe restwould beatfull price.""",""" only some of them """,""" all """,6.7093043402583,6.18620862390049,5.93224518744801,5.59471137960184,5.8348107370626,5.8348107370626,5.69035945432406,6.05678401322862,6.12029741895095,NA
"54",54,1,"""Alex was perusing the breakfast cereals at the grocery store.He asked Carrie whether all had high levels of sugar.Carrie said that only some of them did.She addedthatthe restwould behealthierbutnot as tasty.""",""" only some of them """,""" all """,6.70196036600254,6.38350663488401,6.27852142416584,6.18414889093748,6.11589212548303,6.08221891037645,5.89989735358249,5.74300318780948,5.8171111599632,6.07993319509559
"55",55,1,"""Bill took out the fancy candles from the drawer.He asked Claire whether any should be lit for dinner.Claire said that some of them should.She addedthatthe restwould beneededlater.""",""" some of them """,""" any """,6.46925031679577,5.71373280550937,5.71042701737487,5.88332238848828,6.11589212548303,5.71373280550937,5.63121178182137,5.8111409929767,6.02586597382531,NA
"56",56,1,"""The local papers were all covering Jason&quotechars press conference.Jason asked his publicist Sally whether any would run a front-page story.Sally said that only some of them would.She addedthatthe restwould berunningother stories.""",""" only some of them """,""" any """,6.61069604471776,5.62762111369064,5.59098698051086,5.63121178182137,5.75890177387728,5.92425579741453,5.71373280550937,5.8111409929767,6.08221891037645,NA
"57",57,1,"""Jenna and Alex were making cupcakes.Jenna asked Alex whether all were ready to be frosted.Alex said that some of them were.He addedthatthe restwould bereadysoon.""",""" some of them """,""" all """,6.63068338564237,6.16541785423142,5.40267738187228,5.54517744447956,6.16961073249146,5.59842195899838,5.50533153593236,5.73657229747919,6.13122648948314,NA
"58",58,1,"""Max and Aaron were getting ready to host prospective students.Max asked Aaron whether any needed rides from the airport.Aaron said that only some of them did.He addedthatthe restwould bedrivingthemselves.""",""" only some of them """,""" any """,6.84054652928869,6.70073110954781,6.69208374250663,6.66440902035041,6.41836493593621,5.91889385427315,6.10255859461357,6.17378610390194,6.05678401322862,NA
"59",59,1,"""Terry and his coach Rick were discussing top runners from the area.Terry asked Rick whether any would be at the race.Rick said that only some of them would.He addedthatthe restwould berestingfor the championships.""",""" only some of them """,""" any """,6.42324696353352,6.16751649088834,6.20253551718792,6.04263283368238,6.06378520868761,6.06378520868761,5.91079664404053,6.19847871649231,6.71295620067707,NA
"60",60,1,"""Kurt and Brooke were thinking of selling their movies at a yard sale.Brooke asked Kurt whether all were all right to sell.Kurt said that only some of them were.He addedthatthe restwould beinappropriatefor kids.""",""" only some of them """,""" all """,6.4831073514572,6.20253551718792,6.00635315960173,6.06378520868761,5.88610403145016,5.62401750618734,5.85507192220243,6.08221891037645,6.21860011969173,NA
"61",61,1,"""Quinn and Chase were thinking about going to one of the season&quotechars ball games.Quinn asked Chase whether any were scheduled for the afternoon.Chase said that some of them were.He addedthatthe restwould beplayedat night.""",""" some of them """,""" any """,6.49375383985169,5.90263333340137,5.85793315448346,5.68017260901707,5.37063802812766,5.36129216570943,5.62401750618734,5.47227067367148,5.68697535633982,NA
"62",62,1,"""Mary was preparing to throw a party for John&quotechars relatives.She asked John whether all were staying in his apartment.John said that only some of them were.He addedthatthe restwould bestayingin a hotel.""",""" only some of them """,""" all """,6.67203294546107,6.40687998606931,6.11809719804135,6.25190388316589,5.68357976733868,5.78689738136671,5.2040066870768,5.56452040732269,6.33682573114644,NA
"63",63,1,"""Alexa was looking at the puppies at the shelter..She asked the employee Stephen whether any would grow into large dogs.Stephen said that some of them would.He addedthatthe restwould besmallwhen full-grown.""",""" some of them """,""" any """,6.4085287910595,6.29526600143965,6.00388706710654,5.98896141688986,5.53733426701854,5.40267738187228,5.65948221575962,5.96357934361845,6.45833828334479,NA
"64",64,1,"""Susie heard Matthew&quotechars friends at the door.She asked him whether any were going to the movie with him.Matthew said that only some of them were.He addedthatthe restwould betoobusy.""",""" only some of them """,""" any """,6.44730586254121,6.39526159811545,6.29526600143965,6.2841341610708,6.27852142416584,6.13772705408623,6.23441072571837,5.90263333340137,5.50533153593236,NA
"65",65,1,"""The kids in the first grade class were getting antsy.Kim asked Mrs. Brady whether all could go outside for recess.Mrs. Brady said that only some of them could.She addedthatthe restwould bestaying insideto do make-up work.""",""" only some of them """,""" all """,6.78784498230958,6.56667242980324,6.36475075685191,6.4831073514572,6.21860011969173,6.26530121273771,6.35262939631957,6.4707995037826,6.47543271670409,6.16541785423142
"66",66,1,"""Mrs. Myers was worried that her students weren&quotechart ready for the test.She asked the Mr. Robbins whether all had to take the test.Mr. Robbins said that only some of them did.He addedthatthe restwould beable totake itthe next weekend.""",""" only some of them """,""" all """,6.58340922215876,5.78996017089725,6.00881318544259,6.16751649088834,5.68697535633982,5.56452040732269,5.92157841964382,6.2363695902037,6.21860011969173,6.5424719605068
"67",67,1,"""Jason and Perry were ordering computers for the new lab.Perry asked Jason whether any would have an Internet connection.Jason said that only some of them would.He addedthatthe restwould befor offline workonly.""",""" only some of them """,""" any """,6.55819780281227,5.94803498918065,6.00388706710654,5.73334127689775,5.50125821054473,5.62762111369064,5.94542060860658,5.7037824746562,6.53087762772588,NA
"68",68,1,"""In the store, Sally was unpacking the new shipment of shoes.She asked Tiffany whether all should be marked on sale.Tiffany said that only some of them should.She addedthatthe restwould beatfull price.""",""" only some of them """,""" all """,6.38012253689976,6.1527326947041,5.8348107370626,5.73657229747919,5.5683445037611,5.6021188208797,5.65248918026865,5.71042701737487,5.92425579741453,NA
"69",69,1,"""The clothing store just received a shipment of jeans.Jared asked Erica whether all should be displayed out front.Erica said that  some of them should.She addedthatthe restwould bekeptin the backfor now.""",""" some of them """,""" all """,6.36818718635049,5.52942908751142,5.46806014113513,5.81413053182507,5.56452040732269,5.24702407216049,5.64544689764324,5.75890177387728,6.22059017009974,6.29526600143965
"70",70,1,"""The soccer players were all training very hard.Eric asked Jack whether all would go to the tournament.Jack said that some of them would.He addedthatthe restwould bestayingin town.""",""" some of them """,""" all """,6.53087762772588,5.80814248998044,5.87773578177964,5.81413053182507,6.04500531403601,6.00141487796115,5.78689738136671,5.76205138278018,6.16961073249146,NA
"71",71,1,"""Josh wanted to talk about the new movie with his co-workers.He asked his co-worker Seth whether all had seen the movie yet.Seth said that some of them had.He addedthatthe restwould bemadif Joshgave away spoilers.""",""" some of them """,""" all """,6.82219739062049,6.13988455222626,5.75890177387728,5.78996017089725,5.75574221358691,5.62762111369064,5.48063892334199,5.81413053182507,6.24804287450843,6.58892647753352
"72",72,1,"""Justin wanted to find out which of Mike&quotechars desserts he could eat.He asked Mike whether any could be made gluten free.Mike said that some of them could.He addedthatthe restwould behard to dothat way.""",""" some of them """,""" any """,6.57646956904822,6.06610809010375,5.8111409929767,5.4380793089232,5.28826703069454,5.44241771052179,5.47227067367148,5.47646355193151,5.68017260901707,NA
"73",73,1,"""Molly was looking at apartments.She asked the agent Sally whether all would be available next month.Sally said that  some of them would.She addedthatthe restwould beavailablein August.""",""" some of them """,""" all """,6.43294009273918,6.13772705408623,5.90536184805457,5.92157841964382,5.85793315448346,5.65248918026865,5.5683445037611,5.74300318780948,6.23244801655052,NA
"74",74,1,"""Darren knew his relatives would come for his birthday.Darren asked his mother, Sally, whether any would be giving him clothes.Sally said that only some of them would.She addedthatthe restwould besending himelectronics.""",""" only some of them """,""" any """,6.53087762772588,5.78689738136671,6.28226674689601,5.92425579741453,5.54126354515843,5.59842195899838,5.78382518232974,6.18414889093748,6.74993119378857,NA
"75",75,1,"""Arthur had set up tables for the garage sale..Sarah asked him whether any would display the nice dishes.Arthur said that only some of them would.He addedthatthe restwould betoounstable.""",""" only some of them """,""" any """,6.10031895202006,5.68357976733868,5.65599181081985,5.78996017089725,5.62762111369064,5.39816270151775,5.65599181081985,6.13556489108174,6.23441072571837,NA
"76",76,1,"""The students had prepared for the final presentation.Allie asked Margaret whether any were supposed to present today.Margaret said that only some of them were.She addedthatthe restwould bepresentingon Thursday.""",""" only some of them """,""" any """,6.54391184556479,5.73657229747919,5.98645200528444,6.00635315960173,5.8348107370626,5.8348107370626,5.75890177387728,6.13772705408623,6.23441072571837,NA
"77",77,1,"""Donna and Martha were discussing the rooms of the new house.Donna asked Martha whether all would need to be wallpapered.Martha said that only some of them would.She addedthatthe restwould bepaintedinstead.""",""" only some of them """,""" all """,6.26530121273771,6.22059017009974,5.62762111369064,5.59842195899838,5.57215403217776,5.62762111369064,5.76519110278484,5.87773578177964,6.23441072571837,NA
"78",78,1,"""The rock band was choosing cities to visit on their next tour.They asked their manager Mary whether any would have good venues available.Mary said that some of them would.She added thatthe restwould bebookedduring the tour.""",""" some of them """,""" any """,6.56385552653213,5.54517744447956,5.67675380226828,6.13556489108174,5.50533153593236,5.63121178182137,5.90263333340137,6.12029741895095,6.58892647753352,NA
"79",79,1,"""David and Brandon were looking at upcoming video games in the magazine.David asked Brandon whether any would have a multiplayer mode.Brandon said that some of them would.He addedthatthe restwould besingle playeronly.""",""" some of them """,""" any """,6.45676965557216,5.90263333340137,5.89989735358249,5.54126354515843,5.24702407216049,5.24702407216049,5.54126354515843,5.65599181081985,6.23441072571837,NA
"80",80,1,"""Lana was watching episodes of her favorite sitcom on her day off.Ashley asked her whether all lasted less than an hour..Lana said that some of them did.She addedthatthe restwould betoo rushedthat way.""",""" some of them """,""" all """,6.38012253689976,5.68357976733868,5.50533153593236,5.8111409929767,5.68357976733868,5.65248918026865,5.76205138278018,6.40687998606931,6.26339826259162,NA
"81",81,1,"""Stan and Marilyn were trying to decide what type of tree to plant.Stan asked Marilyn whether any would grow well in shade.Marilyn said that some of them would.She addedthatthe restwould bebetter offin full sun.""",""" some of them """,""" any """,6.38012253689976,5.8348107370626,5.65948221575962,5.96614673912369,5.90263333340137,6.04263283368238,5.5683445037611,5.65948221575962,6.15485809401642,NA
